route,flightDate,mean_fare,n
ATL-DEN,2022-05-16,384.41743119266056,872.0
ATL-DEN,2022-05-17,327.5282454361055,986.0
ATL-DEN,2022-05-18,330.8525377643505,993.0
ATL-DEN,2022-05-19,380.6079711751663,902.0
ATL-DEN,2022-05-20,377.07826208178443,1076.0
ATL-DEN,2022-05-21,295.5110140562249,996.0
ATL-DEN,2022-05-22,466.09347976878615,865.0
ATL-DEN,2022-05-23,397.29615384615386,1079.0
ATL-DEN,2022-05-24,354.5949064279902,1229.0
ATL-DEN,2022-05-25,364.10326941514865,1043.0
ATL-DEN,2022-05-26,442.10546931407936,1108.0
ATL-DEN,2022-05-27,414.9347473867597,1148.0
ATL-DEN,2022-05-28,369.9678660287081,1045.0
ATL-DEN,2022-05-29,396.44548586572444,1132.0
ATL-DEN,2022-05-30,457.15916827852993,1034.0
ATL-DEN,2022-05-31,447.2541114058356,1131.0
ATL-DEN,2022-06-01,419.732270531401,1242.0
ATL-DEN,2022-06-02,387.0398866396761,1235.0
ATL-DEN,2022-06-03,384.6786885245902,1281.0
ATL-DEN,2022-06-04,404.92268059181896,1149.0
ATL-DEN,2022-06-05,503.33229962546824,1335.0
ATL-DEN,2022-06-06,452.6622162883845,1498.0
ATL-DEN,2022-06-07,439.8194929749542,1637.0
ATL-DEN,2022-06-08,467.4090691977955,1633.0
ATL-DEN,2022-06-09,453.1525313653137,1355.0
ATL-DEN,2022-06-10,423.2669110320285,1405.0
ATL-DEN,2022-06-11,421.7095719557195,1355.0
ATL-DEN,2022-06-12,471.00763997165143,1411.0
ATL-DEN,2022-06-13,430.8650993831392,1459.0
ATL-DEN,2022-06-14,409.8407369101487,1547.0
ATL-DEN,2022-06-15,425.22591567023284,1589.0
ATL-DEN,2022-06-16,473.29187209302324,1720.0
ATL-DEN,2022-06-17,417.99078914141415,1584.0
ATL-DFW,2022-04-17,241.89399999999998,35.0
ATL-DFW,2022-04-18,273.2983783783784,74.0
ATL-DFW,2022-04-19,210.4318181818182,143.0
ATL-DFW,2022-04-20,224.22528497409328,193.0
ATL-DFW,2022-04-21,241.96084158415843,202.0
ATL-DFW,2022-04-22,230.6225,200.0
ATL-DFW,2022-04-23,192.844243697479,238.0
ATL-DFW,2022-04-24,346.1376363636364,275.0
ATL-DFW,2022-04-25,365.94157718120806,298.0
ATL-DFW,2022-04-26,237.72907894736844,456.0
ATL-DFW,2022-04-27,302.08887559808613,418.0
ATL-DFW,2022-04-28,249.31369928400954,419.0
ATL-DFW,2022-04-29,240.15647619047618,420.0
ATL-DFW,2022-04-30,182.28543859649122,513.0
ATL-DFW,2022-05-01,272.54221218961624,443.0
ATL-DFW,2022-05-02,294.48333333333335,534.0
ATL-DFW,2022-05-03,178.43545070422533,710.0
ATL-DFW,2022-05-04,226.68102209944752,724.0
ATL-DFW,2022-05-05,239.07243994943107,791.0
ATL-DFW,2022-05-06,260.6539496855346,795.0
ATL-DFW,2022-05-07,188.99130592503022,827.0
ATL-DFW,2022-05-08,286.71140864714084,717.0
ATL-DFW,2022-05-09,318.38673147023087,823.0
ATL-DFW,2022-05-10,186.9637835153923,1007.0
ATL-DFW,2022-05-11,214.4393016194332,988.0
ATL-DFW,2022-05-12,305.72079227053143,1035.0
ATL-DFW,2022-05-13,276.94786144578313,996.0
ATL-DFW,2022-05-14,181.32812439261417,1029.0
ATL-DFW,2022-05-15,348.199622833843,981.0
ATL-DFW,2022-05-16,305.4084837861525,1141.0
ATL-DFW,2022-05-17,201.31682352941175,1020.0
ATL-DFW,2022-05-18,196.10518987341771,1027.0
ATL-DFW,2022-05-19,279.1332355478861,1159.0
ATL-DFW,2022-05-20,292.3961389621812,1137.0
ATL-DFW,2022-05-21,187.05989463601534,1044.0
ATL-DFW,2022-05-22,416.10986381322954,1028.0
ATL-DFW,2022-05-23,308.34240276577356,1157.0
ATL-DFW,2022-05-24,258.73520186335406,1288.0
ATL-DFW,2022-05-25,257.420483135825,1097.0
ATL-DFW,2022-05-26,336.0507592891761,1238.0
ATL-DFW,2022-05-27,329.18750625521267,1199.0
ATL-DFW,2022-05-28,260.3625909090909,1100.0
ATL-DFW,2022-05-29,308.0853070507961,1319.0
ATL-DFW,2022-05-30,323.42271681415934,1130.0
ATL-DFW,2022-05-31,301.0222083704363,1123.0
ATL-DFW,2022-06-01,252.89901960784312,1173.0
ATL-DFW,2022-06-02,263.805537742151,1497.0
ATL-DFW,2022-06-03,250.90548922056385,1206.0
ATL-DFW,2022-06-04,286.5373261589404,1208.0
ATL-DFW,2022-06-05,426.34126899696054,1316.0
ATL-DFW,2022-06-06,345.2187982195846,1348.0
ATL-DFW,2022-06-07,252.9598470948012,1308.0
ATL-DFW,2022-06-08,239.88090029761904,1344.0
ATL-DFW,2022-06-09,278.94508557457215,1227.0
ATL-DFW,2022-06-10,290.8294038748137,1342.0
ATL-DFW,2022-06-11,265.19269722013524,1331.0
ATL-DFW,2022-06-12,391.78811231393775,1478.0
ATL-DFW,2022-06-13,332.19115020297704,1478.0
ATL-DFW,2022-06-14,274.75564671101256,1353.0
ATL-DFW,2022-06-15,242.6607285714286,1400.0
ATL-DFW,2022-06-16,295.56688073394497,1417.0
ATL-DFW,2022-06-17,278.8883415319747,1423.0
ATL-DTW,2022-04-17,467.2461038961039,77.0
ATL-DTW,2022-04-18,397.120350877193,114.0
ATL-DTW,2022-04-19,344.8127570093458,214.0
ATL-DTW,2022-04-20,354.944859437751,249.0
ATL-DTW,2022-04-21,441.40268656716415,268.0
ATL-DTW,2022-04-22,459.74669565217397,345.0
ATL-DTW,2022-04-23,427.9556375838926,298.0
ATL-DTW,2022-04-24,459.21340336134455,238.0
ATL-DTW,2022-04-25,415.67957507082156,353.0
ATL-DTW,2022-04-26,348.686462962963,540.0
ATL-DTW,2022-04-27,377.9420325203252,492.0
ATL-DTW,2022-04-28,402.62248971193424,486.0
ATL-DTW,2022-04-29,420.2110780141844,705.0
ATL-DTW,2022-04-30,398.33767388825544,877.0
ATL-DTW,2022-05-01,436.63041198501867,801.0
ATL-DTW,2022-05-02,347.80128301886793,795.0
ATL-DTW,2022-05-03,289.1709758551308,994.0
ATL-DTW,2022-05-04,294.7215706319703,1076.0
ATL-DTW,2022-05-05,341.1616597510373,964.0
ATL-DTW,2022-05-06,378.98365900383146,1044.0
ATL-DTW,2022-05-07,371.9220404721754,1186.0
ATL-DTW,2022-05-08,393.56381818181825,935.0
ATL-DTW,2022-05-09,328.1699395509499,1158.0
ATL-DTW,2022-05-10,277.8271405750799,1252.0
ATL-DTW,2022-05-11,285.92757414448675,1315.0
ATL-DTW,2022-05-12,301.6784332533973,1251.0
ATL-DTW,2022-05-13,345.6193333333334,1425.0
ATL-DTW,2022-05-14,375.58681232091686,1396.0
ATL-DTW,2022-05-15,387.3887722586692,1067.0
ATL-DTW,2022-05-16,358.6192846497765,1342.0
ATL-DTW,2022-05-17,278.10864062499996,1280.0
ATL-DTW,2022-05-18,288.1662235649547,1324.0
ATL-DTW,2022-05-19,314.1334976682212,1501.0
ATL-DTW,2022-05-20,347.3313652609007,1399.0
ATL-DTW,2022-05-21,355.42930152143845,1446.0
ATL-DTW,2022-05-22,407.6652810768012,1263.0
ATL-DTW,2022-05-23,338.9008885424786,1283.0
ATL-DTW,2022-05-24,294.6019659863946,1470.0
ATL-DTW,2022-05-25,316.8567306216424,1303.0
ATL-DTW,2022-05-26,355.02696350364965,1370.0
ATL-DTW,2022-05-27,383.5125058365759,1285.0
ATL-DTW,2022-05-28,339.7013987138263,1244.0
ATL-DTW,2022-05-29,384.92707914572867,1592.0
ATL-DTW,2022-05-30,424.1545725490197,1275.0
ATL-DTW,2022-05-31,358.23822660098523,1218.0
ATL-DTW,2022-06-01,323.2892409033877,1594.0
ATL-DTW,2022-06-02,301.9495870967742,1550.0
ATL-DTW,2022-06-03,363.24075568181814,1760.0
ATL-DTW,2022-06-04,390.08388594944154,1701.0
ATL-DTW,2022-06-05,379.79943881000673,1479.0
ATL-DTW,2022-06-06,302.58747782002536,1578.0
ATL-DTW,2022-06-07,269.4405756358768,1494.0
ATL-DTW,2022-06-08,275.8665327564895,1618.0
ATL-DTW,2022-06-09,298.62858426966295,1780.0
ATL-DTW,2022-06-10,347.50712731229595,1838.0
ATL-DTW,2022-06-11,317.5613903743315,1683.0
ATL-DTW,2022-06-12,345.2143295019157,1566.0
ATL-DTW,2022-06-13,295.1597981545559,1734.0
ATL-DTW,2022-06-14,243.79318541033433,1645.0
ATL-DTW,2022-06-15,270.5613926940639,1752.0
ATL-DTW,2022-06-16,282.17470520231217,1730.0
ATL-DTW,2022-06-17,367.1394405940594,2020.0
ATL-EWR,2022-04-17,230.1003125,32.0
ATL-EWR,2022-04-18,240.22842105263157,76.0
ATL-EWR,2022-04-19,196.2545360824742,97.0
ATL-EWR,2022-04-20,247.5130263157895,152.0
ATL-EWR,2022-04-21,319.80006896551726,145.0
ATL-EWR,2022-04-22,397.2686363636364,154.0
ATL-EWR,2022-04-23,572.0571337579618,157.0
ATL-EWR,2022-04-24,670.0750351288056,427.0
ATL-EWR,2022-04-25,444.2178991596639,238.0
ATL-EWR,2022-04-26,250.83788990825684,327.0
ATL-EWR,2022-04-27,268.300365448505,301.0
ATL-EWR,2022-04-28,210.12933717579253,347.0
ATL-EWR,2022-04-29,197.27351282051285,390.0
ATL-EWR,2022-04-30,193.58872037914693,422.0
ATL-EWR,2022-05-01,284.13541202672604,449.0
ATL-EWR,2022-05-02,221.35634387351777,506.0
ATL-EWR,2022-05-03,146.8011423550088,569.0
ATL-EWR,2022-05-04,156.84916943521597,602.0
ATL-EWR,2022-05-05,190.98237311385458,729.0
ATL-EWR,2022-05-06,214.96119448698315,653.0
ATL-EWR,2022-05-07,215.56852348993291,596.0
ATL-EWR,2022-05-08,289.728629776021,759.0
ATL-EWR,2022-05-09,236.1001240694789,806.0
ATL-EWR,2022-05-10,145.73536774193548,775.0
ATL-EWR,2022-05-11,138.51657828282825,792.0
ATL-EWR,2022-05-12,201.53584459459458,888.0
ATL-EWR,2022-05-13,216.40984449760765,836.0
